feature_name,-label=ALL,-label=0,-label=1,pvalue
Age,0.0000±1.0000,-0.0027±0.9903,0.0172±1.0661,0.8647460295468385
Marital status,-0.0000±1.0000,-0.0032±1.0133,0.0209±0.9147,0.8362634620018075
Age of marriage,-0.0000±1.0000,-0.0215±1.0074,0.1385±0.9450,0.16996044429393706
Number of children,-0.0000±1.0000,-0.0075±1.0185,0.0485±0.8756,0.6311474214625272
Family history,-0.0000±1.0000,-0.0065±0.9945,0.0417±1.0400,0.6797504824119381
Menopause,-0.0000±1.0000,-0.0001±1.0001,0.0006±1.0054,0.9949980721824899
CEA value,-0.0000±1.0000,0.0027±1.0405,-0.0175±0.6885,0.8623818927646224
CEA,0.0000±1.0000,0.0085±1.0158,-0.0549±0.8954,0.5866147003204872
CA153 value,0.0000±1.0000,-0.0307±0.9156,0.1978±1.4202,0.04993027041569823
CA153,-0.0000±1.0000,-0.0241±0.9330,0.1551±1.3510,0.12430158666466103
cT,0.0000±1.0000,-0.0627±0.9354,0.4038±1.2783,5.752075479409013e-05
cN,0.0000±1.0000,0.0187±1.0214,-0.1206±0.8448,0.2322786193753054
Tumor size,-0.0000±1.0000,-0.0458±0.9107,0.2949±1.4209,0.003404185367275268
locate,-0.0000±1.0000,0.0115±1.0004,-0.0742±1.0000,0.46248766627297444
Doctor,0.0000±1.0000,-0.0157±1.0062,0.1010±0.9584,0.3174258162326424
Doctor_level,0.0000±1.0000,0.0170±0.9967,-0.1094±1.0203,0.27852932749736764
Margin_ave_x,-0.0000±1.0000,0.0663±0.9478,-0.4265±1.2082,2.117693843254879e-05
Margin_ave_y,0.0000±1.0000,0.0608±0.9338,-0.3915±1.2902,9.672816626143952e-05
Margin_ave_z,-0.0000±1.0000,0.0658±0.9473,-0.4237±1.2123,2.4092967955722698e-05
Margin_ave_ave,-0.0000±1.0000,0.0654±0.9407,-0.4210±1.2463,2.7127128709184972e-05
VAR_x,-0.0000±1.0000,0.0414±1.0135,-0.2664±0.8671,0.008195912720738803
VAR_y,-0.0000±1.0000,0.0352±0.9885,-0.2265±1.0492,0.024669435965159657
VAR_z,-0.0000±1.0000,0.0543±0.9666,-0.3493±1.1385,0.0005127867783890576
VAR_ave,-0.0000±1.0000,0.0417±1.0045,-0.2683±0.9319,0.007748368816149545
STD_x,0.0000±1.0000,0.0527±0.9770,-0.3392±1.0828,0.0007446507705201821
STD_y,0.0000±1.0000,0.0457±0.9613,-0.2940±1.1851,0.003496195090189309
STD_z,0.0000±1.0000,0.0591±0.9551,-0.3805±1.1888,0.00015216453685188737
STD_ave,0.0000±1.0000,0.0525±0.9688,-0.3382±1.1305,0.0007728124786804678
MAD_x,-0.0000±1.0000,0.0586±0.9708,-0.3772±1.1043,0.00017381241197064214
MAD_y,0.0000±1.0000,0.0563±0.9558,-0.3621±1.1919,0.000314997561845384
MAD_z,-0.0000±1.0000,0.0689±0.9572,-0.4435±1.1519,9.704050427014356e-06
MAD_ave,-0.0000±1.0000,0.0606±0.9666,-0.3900±1.1228,0.00010287279348649334
